Site,timepoint,timeish,SampleID,fiber.line,film,fragment,foam,bead.pellet,Red_fiber,blue_fiber,black_fiber,red_fragment,blue_fragment,Time,StartTime,StartVelocity_ft.s,WaterHeighta_in,WaterHeightb_in,EndVelocity_ft.s,SampleTime_min,SampleTime_s,USGSStreamDischarge_ft3.s,census,note,date_counted,collector
SM,t2,8a,SM.t2.01,70,3,3,1,0,43,6,14,1,1,4/26/2017 7:05,7:05,3.7,6.5,8,3.67,10,600,142,4913,,5/16/2017,Andrea
SM,t2,11a,SM.t2.02,83,0,3,0,0,69,0,8,0,3,4/26/2017 10:20,10:20,3.8,11.5,9,3.8,10,600,140.6666667,4913,,5/31/2017,Drew
SM,t2,14a,SM.t2.03,106,1,3,0,2,83,2,18,2,1,4/26/2017 13:20,13:20,4,8.5,9.5,3.96,10,600,140.6666667,4913,,6/1/2017,Emily Vail
SM,t2,17a,SM.t2.04,106,1,6,0,1,57,3,29,4,0,4/26/2017 16:20,16:20,3.7,10,9,3.68,10,600,138,4913,,5/18/2017,Michal
SM,t2,20a,SM.t2.05,34,1,0,0,0,22,0,6,0,0,4/26/2017 19:25,19:25,3.15,5.5,3.5,2.82,10,600,130.6666667,4913,boiled over 5.18.17?,5/30/2017,Kenji
SM,t2,23a,SM.t2.06,15,0,1,0,0,11,0,2,0,1,4/26/2017 22:15,22:15,3.6,8.5,9.5,3.58,10,600,127,4913,boiled over 5.18.17?,5/30/2017,Susan
SM,t2,2b,SM.t2.07,41,0,3,1,0,25,2,9,1,1,4/27/2017 1:00,1:00,3.25,11,12,3.36,10,600,129,4913,,10/17/2017,Susan
SM,t2,5b,SM.t2.08,97,0,7,0,1,51,9,21,1,0,4/27/2017 4:15,4:15,3.19,6.5,10,3.72,10,600,129,4913,,5/29/2017,Jack
SM,t2,8b,SM.t2.09,35,0,1,0,2,22,0,3,0,0,4/27/2017 7:10,7:10,3.47,9.5,10,3.353333333,10,600,127.3333333,4913,count date approx,10/1/2017,Christine
FC,t2,8a,FC.t2.01,179,2,16,0,1,87,10,52,2,9,4/26/2017 8:10,8:10,2.95,11.5,11.5,2.99,10,600,283,14859,half of sample fell out of density sampler,5/26/2017,Andrea
FC,t2,11a,FC.t2.02,83,1,2,0,1,68,1,5,0,1,4/26/2017 11:15,11:15,3.09,10,11.5,3.01,11,600,283,14859,,5/30/2017,Chelsea
FC,t2,14a,FC.t2.03,32,0,0,1,0,23,3,4,0,0,4/26/2017 14:20,14:20,2.99,10,11.5,3.2,10,600,279,14859,,5/31/2017,Erin Menzies
FC,t2,17a,FC.t2.04,21,1,12,0,0,6,1,7,0,10,4/26/2017 17:05,17:05,3.13,10.5,9,3.15,10,600,272.6666667,14859,boiled over 5.18.17?,5/26/2017,Michal
FC,t2,20a,FC.t2.05,23,0,3,0,0,7,0,11,0,2,4/26/2017 20:15,20:15,3.07,10,10,2.97,10,600,270,14859,boiled over 5.18.17,5/29/2017,Liz
FC,t2,23a,FC.t2.06,46,0,4,0,0,29,3,6,1,3,4/26/2017 23:00,23:00,2.86,11,11,2.92,10,600,262,14859,processed in 2 parts,6/1/2017,Susan
FC,t2,2b,FC.t2.07,166,3,4,1,0,106,6,22,0,2,4/27/2017 1:45,1:45,2.63,14,14,2.72,10,600,257,14859,part 2 counted 10/23/17,9/21/2017,Susan
FC,t2,5b,FC.t2.08,75,0,1,0,4,27,2,19,0,0,4/27/2017 4:55,4:55,3.1,8.5,8.5,3.03,10,600,257,14859,,5/29/2017,Jack
FC,t2,8b,FC.t2.09,44,0,1,0,1,26,4,11,0,1,4/27/2017 8:25,8:25,3.08,11,7,3.06,10,600,253,14859,,6/1/2017,Talya
SM,t1,8a,SM.t1.01,92,0,48,0,0,57,4,25,42,5,8/24/2016 8:13,8:13,2.65,5.5,3.75,2.88,10,600,6.6,4913,,3/10/2016,Gray
SM,t1,11a,SM.t1.02,64,1,40,0,0,16,2,13,8,31,8/24/2016 11:15,11:15,2.2,7,3.5,2.7,10,600,6.3,4913,,11/9/2016,Emily Vail
SM,t1,17a,SM.t1.04,153,1,15,0,0,32,13,19,2,13,8/24/2016 17:16,17:16,2.37,6.5,4.5,2.31,10,600,6,4913,,11/7/2016,Katie Henderson
SM,t1,23a,SM.t1.06,92,0,13,0,0,41,5,31,12,1,8/24/2016  23:38:00 PM,23:48,1.5,7,4.5,2.3,10,600,5.4,4913,,3/10/2016,Srabani
SM,t1,2b,SM.t1.07,37,0,10,0,0,19,3,8,2,7,8/25/2016 2:12,2:12,1.45,5.5,4.5,1.87,10,600,5.4,4913,,11/16/2016,Christine
SM,t1,5b,SM.t1.08,55,1,0,0,1,22,1,0,0,0,8/25/2016 5:19,5:19,2.4,4.5,5,2.04,10,600,5.4,4913,,10/11/2016,Erin Larson
SM,t1,8b,SM.t1.09,131,0,20,0,1,29,6,15,0,14,8/25/2016 8:16,8:16,1.98,5,6,2.01,10,600,6,4913,,11/16/2016,Chelsea
FC,t1,8a,FC.t1.01,80,1,13,0,0,22,4,15,3,5,8/24/2016 9:27,9:27:30,1.33,7,8.25,2,10,600,20,14859,,11/16/2016,Gray
FC,t1,11a,FC.t1.02,111,1,11,0,0,51,4,11,1,10,8/24/2016 12:10,12:10:30,2.35,5.5,8.75,2.19,10,600,19,14859,,11/9/2016,Emily Vail
FC,t1,17a,FC.t1.04,50,0,8,7,0,27,4,10,4,1,8/24/2016  18:06:00 PM,18:06:00,2.49,7.75,7.5,2.25,10,600,19,14859,,2/14/2017,Allison
FC,t1,20a,FC.t1.05,142,10,22,0,3,47,3,16,20,1,8/24/2016 20:05,20:05,2.06,8.5,5.5,2.11,10,600,19,14859,,10/19/2016,Talya & Andrea
FC,t1,23a,FC.t1.06,93,0,5,0,0,17,6,0,0,0,8/25/2016 0:45,0:45,3.1,8.5,7,3.1,10,600,20,14859,,10/10/2016,Will
FC,t1,2b,FC.t1.07,59,0,1,0,0,22,5,4,0,1,8/25/2016 3:06,3:06,2.53,8,8,1.69,10,600,19,14859,,10/21/2016,Christine
FC,t1,5b,FC.t1.08,156,3,37,0,1,47,5,0,0,0,8/25/2016 6:08,6:08:30,2.57,7,6,2.6,10,600,16,14859,,10/13/2016,Erin Larson
FC,t1,8b,FC.t1.09,54,0,3,0,0,24,6,12,0,3,8/25/2016 9:50,9:50,2.91,10,7.5,2.91,10,600,16,14859,,3/10/2017,Chelsea
